epoch,train_loss,train_acc,val_loss,val_acc,elapsed_sec,batch_size,lr,optimizer,dataset,model,weight_decay
1,1.6207295697784423,0.3959399999809265,1.3276155769348144,0.5181,172.66962146759033,128,0.01,sgd,cifar10,CNN,0.0005
2,1.326718797416687,0.5161200000190734,1.017534200668335,0.6399,337.2688293457031,128,0.01,sgd,cifar10,CNN,0.0005
3,1.1759199977111816,0.5799799999809265,0.9393844926834106,0.665,499.80100870132446,128,0.01,sgd,cifar10,CNN,0.0005
4,1.08073534614563,0.6150400000190734,0.9111643333435059,0.6874,661.4470958709717,128,0.01,sgd,cifar10,CNN,0.0005
5,1.0216257372283934,0.6398000000190734,0.8235850312232971,0.7175,844.2105293273926,128,0.01,sgd,cifar10,CNN,0.0005
6,0.9697482883453369,0.6566999999809265,0.7906686695098877,0.7227,1024.950626373291,128,0.01,sgd,cifar10,CNN,0.0005
7,0.9312550561714172,0.6710200000190735,0.8223167883872986,0.7127,1178.492215871811,128,0.01,sgd,cifar10,CNN,0.0005
8,0.8893502225875854,0.68902,0.8445535963058471,0.7105,1334.2496728897095,128,0.01,sgd,cifar10,CNN,0.0005
9,0.8592580084609985,0.7009399999809265,0.7287088592529297,0.7489,1488.8911788463593,128,0.01,sgd,cifar10,CNN,0.0005
10,0.8295632032585144,0.7086600000190735,0.7094969617843628,0.7491,1645.3165533542633,128,0.01,sgd,cifar10,CNN,0.0005
11,0.7971693181610108,0.719819999961853,0.7026462125778198,0.7534,1797.5459599494934,128,0.01,sgd,cifar10,CNN,0.0005
12,0.7709094861984253,0.731519999961853,0.6547603245735168,0.7725,1950.4279313087463,128,0.01,sgd,cifar10,CNN,0.0005
13,0.7568513402366638,0.736059999961853,0.6204470924377441,0.7852,2104.27644944191,128,0.01,sgd,cifar10,CNN,0.0005
14,0.7299254823684692,0.74566,0.619359769821167,0.7841,2255.078630208969,128,0.01,sgd,cifar10,CNN,0.0005
15,0.7190897860527039,0.7485200000190735,0.6078945550918579,0.7919,2405.9011182785034,128,0.01,sgd,cifar10,CNN,0.0005
16,0.703346721458435,0.7543999999809265,0.6241351322174072,0.7907,2557.31023144722,128,0.01,sgd,cifar10,CNN,0.0005
17,0.689908724899292,0.759620000038147,0.5923054147720337,0.7954,2708.9296219348907,128,0.01,sgd,cifar10,CNN,0.0005
18,0.6708966404342651,0.76758,0.5723068557739258,0.7986,2858.1556298732758,128,0.01,sgd,cifar10,CNN,0.0005
19,0.6593225427818298,0.7697199999809266,0.5586388864517212,0.8082,3014.321277618408,128,0.01,sgd,cifar10,CNN,0.0005
20,0.6489644436264038,0.774480000038147,0.6484543357849121,0.7755,3165.8290631771088,128,0.01,sgd,cifar10,CNN,0.0005
